Time_s   F0_st__200_
14.919839   --undefined--
14.922182   --undefined--
14.924526   --undefined--
14.926870   --undefined--
14.929214   --undefined--
14.931557   --undefined--
14.933901   --undefined--
14.936245   27.172853
14.938589   27.163800
14.940932   26.990957
14.943276   --undefined--
14.945620   --undefined--
14.947964   --undefined--
14.950307   --undefined--
14.952651   --undefined--
14.954995   --undefined--
14.957339   14.546367
14.959682   14.897581
14.962026   15.135268
14.964370   15.170227
14.966714   14.875603
14.969057   14.718182
14.971401   15.026486
14.973745   14.702678
14.976089   14.991613
14.978432   --undefined--
14.980776   --undefined--
14.983120   --undefined--
14.985464   14.900974
14.987807   15.819594
14.990151   15.631681
14.992495   15.109892
14.994839   15.717874
14.997182   15.699044
14.999526   15.501992
15.001870   --undefined--
15.004214   --undefined--
15.006557   --undefined--
15.008901   --undefined--
15.011245   --undefined--
15.013589   --undefined--
15.015932   --undefined--
15.018276   --undefined--
15.020620   --undefined--
15.022964   --undefined--
15.025307   --undefined--
15.027651   --undefined--
15.029995   --undefined--
15.032339   --undefined--
15.034682   --undefined--
15.037026   --undefined--
15.039370   22.645628
15.041714   22.268749
15.044057   21.253059
15.046401   21.109053
15.048745   --undefined--
15.051089   --undefined--
15.053432   --undefined--
15.055776   --undefined--
15.058120   --undefined--
15.060464   --undefined--
15.062807   --undefined--
15.065151   --undefined--
15.067495   --undefined--
15.069839   --undefined--
15.072182   --undefined--
15.074526   --undefined--
15.076870   --undefined--
15.079214   --undefined--
15.081557   --undefined--
15.083901   --undefined--
15.086245   --undefined--
15.088589   --undefined--
15.090932   --undefined--
15.093276   --undefined--
15.095620   --undefined--
15.097964   --undefined--
15.100307   --undefined--
15.102651   --undefined--
15.104995   --undefined--
15.107339   --undefined--
15.109682   --undefined--
15.112026   --undefined--
15.114370   --undefined--
15.116714   --undefined--
15.119057   --undefined--
15.121401   --undefined--
15.123745   --undefined--
15.126089   --undefined--
15.128432   --undefined--
15.130776   --undefined--
15.133120   --undefined--
15.135464   --undefined--
15.137807   --undefined--
15.140151   --undefined--
15.142495   --undefined--
15.144839   --undefined--
15.147182   --undefined--
15.149526   --undefined--
15.151870   --undefined--
15.154214   --undefined--
15.156557   --undefined--
15.158901   --undefined--
15.161245   --undefined--
15.163589   --undefined--
15.165932   --undefined--
15.168276   --undefined--
15.170620   --undefined--
15.172964   --undefined--
15.175307   --undefined--
15.177651   --undefined--
15.179995   22.495263
15.182339   21.714188
15.184682   21.502070
15.187026   --undefined--
15.189370   --undefined--
15.191714   --undefined--
15.194057   --undefined--
15.196401   --undefined--
15.198745   --undefined--
15.201089   --undefined--
15.203432   --undefined--
15.205776   --undefined--
15.208120   --undefined--
15.210464   --undefined--
15.212807   --undefined--
15.215151   --undefined--
15.217495   --undefined--
15.219839   --undefined--
15.222182   --undefined--
15.224526   --undefined--
15.226870   --undefined--
15.229214   --undefined--
15.231557   --undefined--
15.233901   --undefined--
15.236245   20.818245
15.238589   20.972203
15.240932   22.029868
15.243276   --undefined--
15.245620   --undefined--
15.247964   --undefined--
15.250307   --undefined--
15.252651   --undefined--
15.254995   --undefined--
15.257339   --undefined--
15.259682   --undefined--
15.262026   --undefined--
15.264370   --undefined--
15.266714   --undefined--
15.269057   --undefined--
15.271401   --undefined--
15.273745   --undefined--
15.276089   --undefined--
15.278432   --undefined--
15.280776   --undefined--
15.283120   --undefined--
15.285464   --undefined--
15.287807   --undefined--
15.290151   --undefined--
15.292495   --undefined--
15.294839   --undefined--
15.297182   --undefined--
15.299526   --undefined--
15.301870   --undefined--
15.304214   --undefined--
15.306557   --undefined--
15.308901   27.482004
15.311245   27.462543
15.313589   26.768975
15.315932   --undefined--
15.318276   --undefined--
15.320620   --undefined--
15.322964   --undefined--
15.325307   --undefined--
15.327651   14.938338
15.329995   14.556397
15.332339   14.998833
15.334682   15.047187
15.337026   15.307682
15.339370   --undefined--
15.341714   --undefined--
15.344057   --undefined--
15.346401   --undefined--
15.348745   --undefined--
15.351089   --undefined--
15.353432   --undefined--
15.355776   --undefined--
15.358120   --undefined--
15.360464   --undefined--
15.362807   --undefined--
15.365151   --undefined--
15.367495   --undefined--
15.369839   --undefined--
15.372182   15.420000
15.374526   14.575494
15.376870   14.280147
15.379214   14.666182
15.381557   14.843903
15.383901   --undefined--
15.386245   --undefined--
15.388589   --undefined--
15.390932   --undefined--
15.393276   --undefined--
15.395620   --undefined--
15.397964   --undefined--
15.400307   --undefined--
15.402651   --undefined--
15.404995   --undefined--
15.407339   --undefined--
15.409682   --undefined--
15.412026   --undefined--
15.414370   --undefined--
15.416714   --undefined--
15.419057   --undefined--
15.421401   --undefined--
15.423745   --undefined--
15.426089   --undefined--
15.428432   --undefined--
15.430776   --undefined--
15.433120   --undefined--
15.435464   --undefined--
15.437807   --undefined--
15.440151   --undefined--
15.442495   --undefined--
15.444839   --undefined--
15.447182   --undefined--
15.449526   --undefined--
15.451870   --undefined--
15.454214   --undefined--
15.456557   --undefined--
15.458901   --undefined--
15.461245   --undefined--
15.463589   23.157785
15.465932   22.319974
15.468276   21.431099
15.470620   21.365997
15.472964   21.630444
15.475307   --undefined--
15.477651   --undefined--
15.479995   --undefined--
15.482339   --undefined--
15.484682   --undefined--
15.487026   --undefined--
15.489370   --undefined--
15.491714   --undefined--
15.494057   --undefined--
15.496401   --undefined--
15.498745   --undefined--
15.501089   --undefined--
15.503432   --undefined--
15.505776   --undefined--
15.508120   --undefined--
15.510464   --undefined--
15.512807   --undefined--
15.515151   --undefined--
15.517495   --undefined--
15.519839   --undefined--
15.522182   --undefined--
15.524526   --undefined--
15.526870   --undefined--
15.529214   --undefined--
15.531557   --undefined--
15.533901   --undefined--
15.536245   --undefined--
15.538589   --undefined--
15.540932   --undefined--
15.543276   --undefined--
15.545620   --undefined--
15.547964   --undefined--
15.550307   --undefined--
15.552651   --undefined--
15.554995   --undefined--
15.557339   --undefined--
15.559682   --undefined--
15.562026   --undefined--
15.564370   --undefined--
15.566714   --undefined--
15.569057   --undefined--
15.571401   --undefined--
15.573745   --undefined--
15.576089   27.606680
15.578432   26.421954
15.580776   23.317199
15.583120   22.524841
15.585464   21.758142
15.587807   21.616459
15.590151   --undefined--
15.592495   --undefined--
15.594839   --undefined--
15.597182   --undefined--
15.599526   --undefined--
15.601870   22.146505
15.604214   22.235507
15.606557   20.920240
15.608901   20.065230
15.611245   21.248555
15.613589   22.931247
15.615932   22.717962
15.618276   --undefined--
15.620620   --undefined--
15.622964   --undefined--
15.625307   --undefined--
15.627651   --undefined--
15.629995   --undefined--
15.632339   --undefined--
15.634682   --undefined--
15.637026   --undefined--
15.639370   --undefined--
15.641714   --undefined--
15.644057   --undefined--
15.646401   --undefined--
15.648745   --undefined--
15.651089   --undefined--
15.653432   --undefined--
15.655776   --undefined--
15.658120   --undefined--
15.660464   --undefined--
15.662807   --undefined--
15.665151   --undefined--
15.667495   --undefined--
15.669839   --undefined--
15.672182   --undefined--
15.674526   --undefined--
15.676870   --undefined--
15.679214   --undefined--
15.681557   --undefined--
