Time_s   Intensity_dB
52.054104   28.923255
52.060771   39.277320
52.067437   44.510764
52.074104   45.207791
52.080771   42.290405
52.087437   38.617082
52.094104   37.302672
52.100771   35.709718
52.107437   33.423151
52.114104   31.733775
52.120771   30.286062
52.127437   29.109026
52.134104   28.353020
52.140771   27.238207
52.147437   25.785991
52.154104   24.436301
52.160771   23.238859
52.167437   22.302294
52.174104   22.199737
52.180771   22.479797
52.187437   22.773166
52.194104   22.997255
52.200771   22.919499
52.207437   22.707502
52.214104   22.432196
52.220771   22.246011
52.227437   22.549752
52.234104   23.180570
52.240771   23.053643
52.247437   22.720068
52.254104   22.531466
52.260771   21.930792
52.267437   21.581896
52.274104   21.902975
52.280771   21.964766
52.287437   21.548583
52.294104   21.133315
52.300771   21.140788
52.307437   21.426080
52.314104   21.635226
52.320771   24.239475
52.327437   35.221390
52.334104   42.510701
52.340771   44.738911
52.347437   42.709101
52.354104   38.514034
52.360771   35.671369
52.367437   33.412341
52.374104   31.984971
52.380771   30.754946
52.387437   29.195624
52.394104   27.695046
52.400771   26.322985
52.407437   25.369992
52.414104   24.747970
52.420771   23.872999
52.427437   23.264991
52.434104   23.606114
52.440771   23.322547
52.447437   22.082596
52.454104   21.781840
52.460771   22.572171
52.467437   22.882748
52.474104   22.144852
52.480771   21.647084
52.487437   21.762067
52.494104   21.622187
52.500771   21.565804
52.507437   22.067938
52.514104   22.071703
52.520771   21.705570
52.527437   22.024189
52.534104   23.481342
52.540771   25.818487
52.547437   27.269699
52.554104   27.044657
52.560771   25.471283
52.567437   23.903353
52.574104   23.675674
52.580771   27.341156
52.587437   37.977097
52.594104   44.155890
52.600771   45.459689
52.607437   42.788785
52.614104   38.518376
52.620771   35.869274
52.627437   33.222024
52.634104   31.191313
52.640771   29.587718
52.647437   28.295819
52.654104   27.469626
52.660771   25.989219
52.667437   24.310302
52.674104   23.454493
52.680771   23.261690
52.687437   22.844715
52.694104   22.367094
52.700771   21.955260
52.707437   21.152186
52.714104   20.383563
52.720771   19.936103
52.727437   20.380246
52.734104   21.901035
52.740771   31.563574
52.747437   40.291871
52.754104   43.839982
52.760771   42.855436
52.767437   38.454146
52.774104   34.442365
52.780771   32.347170
52.787437   30.974472
52.794104   30.592097
52.800771   29.699585
52.807437   28.206472
52.814104   26.851357
52.820771   24.993139
52.827437   23.023977
52.834104   22.286634
52.840771   21.964454
52.847437   21.206640
52.854104   20.422641
52.860771   20.057925
52.867437   19.676434
52.874104   19.443723
52.880771   19.448905
52.887437   19.037023
52.894104   18.935759
52.900771   19.227099
52.907437   19.674222
52.914104   20.596549
52.920771   20.813358
52.927437   20.265343
52.934104   20.020605
52.940771   19.931136
52.947437   20.151946
52.954104   20.558308
52.960771   20.282177
52.967437   19.996865
52.974104   20.249071
52.980771   20.421487
52.987437   20.064963
52.994104   20.476377
53.000771   30.054629
53.007437   40.325641
53.014104   45.110197
53.020771   45.092661
53.027437   41.173947
53.034104   36.748531
53.040771   34.313918
53.047437   32.776750
53.054104   32.891430
53.060771   32.331961
53.067437   30.596229
53.074104   28.664079
53.080771   26.618144
53.087437   24.986151
53.094104   23.878656
53.100771   22.796904
53.107437   22.184994
53.114104   22.055480
53.120771   21.782974
53.127437   21.631984
53.134104   21.730450
53.140771   21.718754
53.147437   21.862104
53.154104   21.856339
53.160771   21.241682
53.167437   20.781371
53.174104   21.240916
53.180771   21.076278
53.187437   21.353493
53.194104   21.952561
53.200771   21.757832
53.207437   21.728730
53.214104   21.676978
53.220771   21.586684
53.227437   21.312358
53.234104   21.043591
53.240771   21.167208
53.247437   20.910746
53.254104   21.850117
53.260771   33.045265
53.267437   41.318358
53.274104   44.483072
53.280771   43.432395
53.287437   39.650426
53.294104   36.319281
53.300771   34.165577
53.307437   33.042502
53.314104   31.353328
53.320771   29.301655
53.327437   28.079023
53.334104   26.660839
53.340771   25.254265
53.347437   24.194775
53.354104   23.919764
53.360771   23.680721
53.367437   23.104006
53.374104   22.810152
53.380771   22.761127
53.387437   22.602322
53.394104   22.177181
53.400771   21.357675
53.407437   20.607143
53.414104   20.964893
53.420771   21.817150
53.427437   22.102348
53.434104   21.685236
53.440771   20.768646
53.447437   20.271267
53.454104   20.856373
53.460771   21.280303
53.467437   20.828374
53.474104   20.530419
53.480771   20.601335
53.487437   20.872119
53.494104   21.373158
53.500771   21.099290
53.507437   20.374302
53.514104   20.244475
53.520771   20.319105
53.527437   21.377246
53.534104   22.301320
53.540771   22.299504
53.547437   25.994039
53.554104   37.195818
53.560771   43.771480
53.567437   45.455830
53.574104   43.030669
53.580771   38.679864
53.587437   35.827369
53.594104   33.176976
53.600771   31.530872
53.607437   30.696747
53.614104   30.171305
53.620771   29.261495
53.627437   27.756647
53.634104   26.151330
53.640771   25.196680
53.647437   24.970252
53.654104   24.181108
53.660771   23.054137
53.667437   22.265027
53.674104   21.679734
53.680771   21.219632
53.687437   21.232492
53.694104   21.713503
53.700771   22.181581
53.707437   22.122807
53.714104   22.164256
53.720771   21.939938
53.727437   21.789454
53.734104   22.240571
53.740771   22.181348
53.747437   21.660672
53.754104   21.288739
53.760771   20.897847
53.767437   20.800101
53.774104   21.287315
53.780771   21.368094
53.787437   21.444099
53.794104   21.981788
53.800771   28.552921
53.807437   38.676585
53.814104   43.837874
53.820771   44.494539
53.827437   41.818563
53.834104   38.825184
53.840771   36.746094
53.847437   34.345789
53.854104   32.607793
53.860771   30.912565
53.867437   29.576756
53.874104   28.242882
53.880771   26.760476
53.887437   25.305867
53.894104   24.389827
53.900771   23.766370
53.907437   22.831564
53.914104   22.527422
53.920771   22.563329
53.927437   22.281399
53.934104   21.855255
53.940771   21.768556
53.947437   21.642341
53.954104   21.509779
53.960771   21.501927
53.967437   21.133452
53.974104   20.743092
53.980771   20.714037
53.987437   20.996977
53.994104   21.753683
54.000771   22.602078
54.007437   22.700620
54.014104   21.797045
54.020771   21.558721
54.027437   22.518609
54.034104   23.028381
54.040771   22.578685
54.047437   21.984609
54.054104   21.923905
54.060771   27.142534
54.067437   37.727580
54.074104   43.372214
54.080771   44.163268
54.087437   40.887513
54.094104   36.094370
54.100771   33.469225
54.107437   31.412457
54.114104   30.032148
54.120771   28.876450
54.127437   27.942704
54.134104   27.185266
54.140771   27.272370
54.147437   27.743390
54.154104   27.926411
54.160771   27.480967
54.167437   25.876238
54.174104   24.476990
54.180771   23.583015
54.187437   23.253282
54.194104   23.626980
54.200771   24.134839
54.207437   24.153340
54.214104   24.007041
54.220771   31.469699
54.227437   39.247613
54.234104   42.217346
54.240771   41.046412
54.247437   37.131243
54.254104   33.323839
54.260771   31.305642
54.267437   30.841825
54.274104   30.368922
54.280771   28.930120
54.287437   27.302339
54.294104   25.970749
54.300771   24.929068
54.307437   24.135040
54.314104   23.969360
54.320771   24.222267
54.327437   24.037049
54.334104   23.715848
54.340771   23.670592
54.347437   23.542048
54.354104   23.155792
54.360771   23.256393
54.367437   23.897607
54.374104   23.921418
54.380771   23.650705
54.387437   23.796362
54.394104   24.102179
54.400771   24.379165
54.407437   24.485925
54.414104   24.679870
54.420771   25.015609
54.427437   25.138096
54.434104   24.929401
54.440771   24.135312
54.447437   23.231929
54.454104   23.101720
54.460771   23.429499
54.467437   23.164088
54.474104   22.851293
54.480771   31.413681
54.487437   40.209357
54.494104   43.798646
54.500771   42.791171
54.507437   38.407649
54.514104   34.247775
54.520771   32.691169
54.527437   33.776105
54.534104   36.159532
54.540771   35.979202
54.547437   32.977375
54.554104   30.532330
54.560771   29.851955
54.567437   28.770300
54.574104   27.737818
54.580771   27.007136
54.587437   25.901004
54.594104   24.949032
54.600771   24.730252
54.607437   24.918465
54.614104   25.150334
54.620771   25.070963
54.627437   24.829269
54.634104   25.152752
54.640771   25.849161
54.647437   26.233978
54.654104   26.276697
54.660771   26.077983
54.667437   25.797555
54.674104   25.776073
54.680771   25.716707
54.687437   25.155290
54.694104   24.164395
54.700771   23.632015
54.707437   23.949778
54.714104   24.425049
54.720771   24.797377
54.727437   24.473148
54.734104   23.493295
54.740771   22.823381
54.747437   27.214329
54.754104   37.487786
